City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Barahona,DO,2021-04-01 14:15:02,18.2085,-71.1008,78.8,89,75,13.8
180,Hovd,MN,2021-04-01 14:18:15,48.0056,91.6419,32.16,43,100,3.78
181,Isangel,VU,2021-04-01 14:18:15,-19.55,169.2667,77.77,87,100,11.61
182,Nome,US,2021-04-01 14:17:32,64.5011,-165.4064,-0.4,60,1,17.27
183,Along,IN,2021-04-01 14:18:15,28.1667,94.7667,59.16,95,75,3.65
184,Punta Cardon,VE,2021-04-01 14:18:16,11.6581,-70.215,80.2,72,100,27.94
185,Marzuq,YE,2021-04-01 14:18:16,14.4,46.4667,84.9,12,60,15.84
186,Businga,CD,2021-04-01 14:18:16,3.3333,20.8833,94.03,36,86,2.77
187,Ust-Nera,RU,2021-04-01 14:18:17,64.5667,143.2,-6.95,95,35,2.13
188,Pierre,US,2021-04-01 14:18:17,44.3683,-100.351,34.0,55,1,9.22
189,Codrington,AU,2021-04-01 14:18:17,-38.2667,141.9667,60.37,66,76,6.04
190,Toktogul,KG,2021-04-01 14:18:18,41.8708,72.9402,32.32,53,59,10.27
191,Cabo San Lucas,MX,2021-04-01 14:18:18,22.8909,-109.9124,71.6,26,40,8.05
192,Marawi,PH,2021-04-01 14:18:18,7.9986,124.2928,70.75,96,82,0.2
193,Georgetown,MY,2021-04-01 14:15:11,5.4112,100.3354,86.0,79,20,2.3
194,Yamada,JP,2021-04-01 14:18:19,39.4667,141.95,44.17,84,9,3.94
195,Yulara,AU,2021-04-01 14:18:19,-25.2406,130.9889,71.6,28,0,6.91
196,Dinan,FR,2021-04-01 14:18:19,48.4167,-2.25,75.99,49,0,9.22
197,Baramati,IN,2021-04-01 14:18:20,18.15,74.5833,90.05,24,15,18.1
198,Chuy,UY,2021-04-01 14:18:20,-33.6971,-53.4616,70.54,56,43,8.5
199,Plouzane,FR,2021-04-01 14:18:20,48.3833,-4.6167,80.6,26,0,11.5
200,Lata,PT,2021-04-01 14:18:21,40.1629,-8.3327,66.99,78,95,1.01
201,Moberly,US,2021-04-01 14:18:21,39.4184,-92.4382,33.01,51,1,8.05
202,Champerico,GT,2021-04-01 14:18:21,14.3,-91.9167,80.6,69,0,2.46
203,West Wendover,US,2021-04-01 14:18:22,40.7391,-114.0733,28.4,54,1,1.25
204,Victoria,HK,2021-04-01 14:14:18,22.2855,114.1577,80.01,84,74,9.51
205,Lagoa,PT,2021-04-01 14:18:22,39.05,-27.9833,58.87,82,100,20.78
206,Vila Velha,BR,2021-04-01 14:15:09,-20.3297,-40.2925,80.6,61,0,11.5
207,Havoysund,NO,2021-04-01 14:18:23,70.9963,24.6622,37.4,75,40,3.44
208,Mende,FR,2021-04-01 14:18:23,44.6667,3.5,62.17,19,0,5.79
209,Puerto Ayora,EC,2021-04-01 14:18:23,-0.7393,-90.3518,80.6,83,20,11.5
210,Mocuba,MZ,2021-04-01 14:18:24,-16.8392,36.9856,80.49,68,15,3.74
211,Letnyaya Stavka,RU,2021-04-01 14:18:24,45.4306,43.4472,55.72,55,100,16.4
212,Varhaug,NO,2021-04-01 14:18:24,58.6147,5.6457,46.4,61,40,21.85
213,Bayonet Point,US,2021-04-01 14:18:24,28.3267,-82.6834,72.0,86,71,1.01
