City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
319,Salalah,OM,17.0151,54.0924,80.6,clear sky,HAMDAN PLAZA HOTEL SALALAH
323,San Cristobal,VE,7.7669,-72.225,84.2,scattered clouds,Posada Villaven C.A.
327,Isangel,VU,-19.55,169.2667,79.0,overcast clouds,Volcano Sea View Tree House
328,Rawson,AR,-43.3002,-65.1023,80.94,clear sky,Hosteria Sampedro
331,Nushki,PK,29.5542,66.0215,78.19,scattered clouds,Jahangir Hotel Noshki
335,Paita,PE,-5.0892,-81.1144,82.4,clear sky,Hotel Náutico de Paita
337,Coruripe,BR,-10.1256,-36.1756,80.85,clear sky,Pousada e Hotel Litoral Sul
338,Obo,CF,5.3998,26.4869,78.08,overcast clouds,
341,Oistins,BB,13.0667,-59.5333,82.4,scattered clouds,Butterfly Beach Hotel
342,Hoa Binh,VN,20.8133,105.3383,75.2,mist,Hoa Dao Hotel
343,Axim,GH,4.8699,-2.2405,80.37,broken clouds,AXIM BEACH RESORT AND SPA
346,Mahibadhoo,MV,3.7833,72.9667,82.96,few clouds,Omadhoo Inn
347,Mangrol,IN,21.1167,70.1167,78.4,few clouds,Hotel The Royal Honours
349,Tecoanapa,MX,16.5167,-98.75,87.42,clear sky,Hotel Manglares
353,Maragogi,BR,-9.0122,-35.2225,80.71,few clouds,Salinas do Maragogi All Inclusive Resort
354,Saint-Joseph,RE,-21.3667,55.6167,77.0,clear sky,"""Plantation Bed and Breakfast"
360,Namatanai,PG,-3.6667,152.4333,79.38,light rain,Namatanai Hotel
363,Seguela,CI,7.9611,-6.6731,85.33,broken clouds,Hotel le Carrefour
364,Kirakira,SB,-10.4544,161.9205,80.67,broken clouds,SanBiz Lodge
365,Itarema,BR,-2.9248,-39.9167,81.36,scattered clouds,"Sea Lounge! Bar, Club & Restaurant"
370,Cap Malheureux,MU,-19.9842,57.6142,79.0,clear sky,Pereybere Hotel & Spa
371,Adre,TD,13.4667,22.2,81.75,overcast clouds,
380,Ewa Beach,US,21.3156,-158.0072,80.6,few clouds,Uncle Junior Robert
383,Amapa,BR,1.0,-52.0,79.34,moderate rain,
387,Oranjestad,AW,12.524000000000001,-70.027,82.99,scattered clouds,Divi Village Golf & Beach Resort
388,Bengkulu,ID,-3.8004,102.2655,77.47,overcast clouds,Grage Hotel Bengkulu
390,Davila,PH,18.4726,120.5763,77.97,clear sky,Blue Ridge Beach Resort
393,Trairi,BR,-3.2778,-39.2689,80.24,few clouds,janelas do mar
394,Reynosa,MX,26.0833,-98.2833,75.2,overcast clouds,Holiday Inn Reynosa Zona Dorada
395,Kibala,TD,9.1104,18.3463,87.8,clear sky,
396,Alta Floresta,BR,-9.8756,-56.0861,78.8,broken clouds,Floresta Amazonica Hotel
398,Camopi,GF,3.1655,-52.3158,78.6,moderate rain,
406,Tanout,NE,14.9709,8.8879,76.03,clear sky,
417,Neiafu,TO,-18.65,-173.9833,78.8,scattered clouds,Mystic Sands
418,Roebourne,AU,-20.7833,117.1333,82.15,broken clouds,Harding River Caravan Park
421,Vila Velha,BR,-20.3297,-40.2925,78.8,broken clouds,Quality Suites Vila Velha
423,Adrar,MR,20.5022,-10.0711,88.84,broken clouds,
425,Gizo,SB,-8.103,156.8419,83.12,overcast clouds,Imagination Island
426,Touros,BR,-5.1989,-35.4608,82.4,scattered clouds,INN NEW HORIZON
428,Palmas,BR,-10.2128,-48.3603,87.8,few clouds,Hotel Lago da Palma
429,Kavaratti,IN,10.5669,72.642,82.53,scattered clouds,Hotels in Lakshadweep Islands
435,Bairiki,KI,1.3292,172.9752,82.4,few clouds,Tarawa Boutique Hotel
