,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,69,75,8.05,broken clouds
272,Tiksi,RU,71.6872,128.8694,-16.1,100,100,5.35,overcast clouds
273,Northam,GB,51.0333,-4.2167,45.0,78,2,1.01,clear sky
274,Carmen,MX,18.6333,-91.8333,77.0,50,1,12.66,clear sky
275,Westport,US,41.1415,-73.3579,52.0,17,1,14.97,clear sky
276,Esperance,AU,-33.8667,121.9,64.4,77,90,11.5,overcast clouds
277,Santa Fe,AR,-31.6333,-60.7,79.54,44,31,7.23,scattered clouds
278,Camacha,PT,33.0833,-16.3333,60.8,67,20,9.22,few clouds
279,Smithers,CA,54.7804,-127.1743,42.8,49,75,9.22,broken clouds
280,Zadar,HR,44.1197,15.2422,50.0,43,20,18.41,few clouds
281,Kyzyl-Suu,KG,42.3414,78.0056,27.54,42,0,8.72,clear sky
282,Shimoda,JP,34.6667,138.95,62.01,74,88,7.45,overcast clouds
283,Maloy,NO,61.9353,5.1136,43.0,87,90,14.97,overcast clouds
284,Tura,IN,25.5198,90.2201,72.55,37,2,3.8,clear sky
285,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,20,6.91,few clouds
286,Tarko-Sale,RU,64.9225,77.785,29.59,92,100,8.08,overcast clouds
287,Kaka,TM,37.3482,59.6143,57.18,71,24,19.15,few clouds
288,Half Moon Bay,US,37.4636,-122.4286,63.0,67,90,6.91,haze
289,Machali,CL,-34.1833,-70.6667,82.4,28,0,8.05,clear sky
290,Krasnoye,UA,49.9145,24.6134,37.4,93,75,6.71,broken clouds
291,Belfast,GB,54.5833,-5.9333,46.4,76,83,3.44,broken clouds
292,Nishihara,JP,26.1842,127.7558,73.4,94,90,8.05,overcast clouds
293,Fethiye,TR,36.6217,29.1164,51.8,100,40,4.61,scattered clouds
294,Salekhard,RU,66.53,66.6019,2.68,98,63,1.61,broken clouds
295,Dubbo,AU,-32.25,148.6167,55.4,94,0,6.91,clear sky
296,Gobabis,NA,-22.45,18.9667,72.64,36,1,8.7,clear sky
297,Torbay,CA,47.6666,-52.7314,42.01,87,75,10.36,broken clouds
298,Vorobyevka,RU,50.6451,40.9245,37.72,87,100,10.78,overcast clouds
299,Yar-Sale,RU,66.8333,70.8333,18.93,100,94,6.53,overcast clouds
300,Katherine,AU,-14.4667,132.2667,69.8,83,99,5.75,overcast clouds
301,Ostrovnoy,RU,68.0531,39.5131,18.21,93,66,11.01,broken clouds
302,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,74,90,12.66,overcast clouds
303,Havelock,US,34.8791,-76.9013,57.99,26,1,10.36,clear sky
304,Cherskiy,RU,68.75,161.3,-17.66,97,63,5.97,broken clouds
305,San Quintin,MX,30.4833,-115.95,66.83,66,2,16.06,clear sky
306,Luganville,VU,-15.5333,167.1667,81.12,85,100,7.7,overcast clouds
307,Det Udom,TH,14.906,105.0784,84.2,74,20,2.3,few clouds
308,Bilma,NE,18.6853,12.9164,77.45,11,0,6.98,clear sky
309,Broome,US,42.2506,-75.833,48.99,25,1,11.5,clear sky
310,Port Lincoln,AU,-34.7333,135.8667,66.9,66,0,5.3,clear sky
311,Jackson,US,42.4165,-122.8345,68.0,39,1,2.89,clear sky
312,Korla,CN,41.7597,86.1469,47.86,30,26,12.55,scattered clouds
313,Aykhal,RU,66.0,111.5,-19.28,99,100,5.21,overcast clouds
314,Sao Filipe,CV,14.8961,-24.4956,73.98,71,20,7.76,few clouds
315,Ballina,AU,-28.8667,153.5667,71.6,83,90,8.05,light rain
316,Narsaq,GL,60.9167,-46.05,39.2,87,75,3.44,light rain
317,Palauig,PH,15.435,119.9045,78.73,69,5,4.21,clear sky
318,Elliot Lake,CA,46.3834,-82.6331,44.6,53,1,9.22,clear sky
319,Salalah,OM,17.0151,54.0924,80.6,83,0,1.14,clear sky
320,Marzuq,YE,14.4,46.4667,70.18,38,19,4.9,few clouds
321,Pakxan,LA,18.3778,103.6601,74.79,88,32,4.99,scattered clouds
322,Dauphin,CA,51.1494,-100.0502,50.0,50,1,13.8,clear sky
323,San Cristobal,VE,7.7669,-72.225,84.2,70,40,13.8,scattered clouds
324,Wexford,IE,52.3342,-6.4575,46.99,74,6,1.99,clear sky
325,Scarborough,GB,54.2797,-0.4044,36.0,85,13,5.12,few clouds
326,Yerofey Pavlovich,RU,53.9667,121.9667,18.32,93,98,3.69,overcast clouds
327,Isangel,VU,-19.55,169.2667,79.0,85,100,15.19,overcast clouds
328,Rawson,AR,-43.3002,-65.1023,80.94,28,6,15.39,clear sky
329,Nuuk,GL,64.1835,-51.7216,21.2,79,75,18.41,broken clouds
330,Beroroha,MG,-21.6667,45.1667,74.25,79,5,3.65,clear sky
331,Nushki,PK,29.5542,66.0215,78.19,15,39,7.29,scattered clouds
332,Plainview,US,40.7765,-73.4673,52.0,20,1,6.91,clear sky
333,Pocatello,US,42.8713,-112.4455,70.0,13,1,6.91,clear sky
334,Zima,RU,53.9202,102.0442,26.31,95,100,0.54,overcast clouds
335,Paita,PE,-5.0892,-81.1144,82.4,65,0,10.36,clear sky
336,Moguer,ES,37.2756,-6.8385,63.0,61,71,8.99,broken clouds
337,Coruripe,BR,-10.1256,-36.1756,80.85,69,7,9.26,clear sky
338,Obo,CF,5.3998,26.4869,78.08,28,85,3.33,overcast clouds
339,Vaasa,FI,63.096,21.6158,37.4,87,0,8.05,clear sky
340,Trofors,NO,65.5333,13.4063,42.8,87,90,12.66,light rain
341,Oistins,BB,13.0667,-59.5333,82.4,54,40,21.85,scattered clouds
342,Hoa Binh,VN,20.8133,105.3383,75.2,100,75,3.44,mist
343,Axim,GH,4.8699,-2.2405,80.37,88,51,8.66,broken clouds
344,Gat,IL,31.61,34.7642,59.0,77,0,4.63,clear sky
345,Cortes,ES,41.9395,-1.4396,55.0,66,0,26.46,clear sky
346,Mahibadhoo,MV,3.7833,72.9667,82.96,76,11,11.81,few clouds
347,Mangrol,IN,21.1167,70.1167,78.4,77,17,7.96,few clouds
348,Charters Towers,AU,-20.1,146.2667,65.55,93,92,10.0,moderate rain
349,Tecoanapa,MX,16.5167,-98.75,87.42,46,0,12.88,clear sky
